amfi_code,scheme_name,cagr_3yr,sharpe_ratio,max_drawdown,expense_ratio_pct,alpha,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_dd,score
118633,Nippon India Large Cap Fund - Direct - Growth,0.21084691029380598,0.6452074382933216,-0.18629743138595511,0.72,0.15643835948169668,65.0,50.0,47.5,88.75,65.0,61.3125
119552,SBI Bluechip Fund - Direct Plan - Growth,0.16263375081360643,0.9532794968660105,-0.11803493502764295,0.66,0.1986859936686296,45.0,72.5,65.0,92.5,27.500000000000004,61.25
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.18429918008610047,0.7757902498211209,-0.15200013055606398,0.92,0.17729754927531766,55.00000000000001,57.49999999999999,62.5,67.5,45.0,58.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.18417429266835228,0.6488787755249532,-0.1982565826298267,1.41,0.1625385327998104,52.5,52.5,52.5,55.00000000000001,67.5,54.375
118635,Nippon India ETF Nifty 50 BeES,0.2000321571698329,0.664856998549062,-0.1165062450540909,0.89,0.1513635464823924,60.0,55.00000000000001,45.0,70.0,25.0,53.75
119093,Axis Bluechip Fund - Direct - Growth,0.20811559826631898,0.1296144979566933,-0.21751396370148224,0.75,0.08232801295222093,62.5,30.0,32.5,82.5,77.5,52.875
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.14744434832760533,0.9262873467360148,-0.1527259422823477,1.52,0.20873010086942337,42.5,65.0,67.5,36.25,47.5,52.6875
102887,UTI Flexi Cap Fund - Regular - Growth,0.25549670172502026,0.6195175900829829,-0.21539827112383225,1.64,0.16211256794033255,70.0,47.5,50.0,3.75,75.0,50.9375
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.13974980348212673,0.7979728586052847,-0.13897862823061635,1.42,0.17703302365844073,40.0,60.0,60.0,52.5,35.0,50.375
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.19662361245910964,0.8170993373494371,-0.1085986215250232,1.57,0.17048756803412696,57.49999999999999,62.5,55.00000000000001,17.5,17.5,48.25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11242518737374207,0.30061192104254786,-0.21117279560132118,0.78,0.11989100971217971,37.5,35.0,37.5,77.5,72.5,46.375
118634,Nippon India Small Cap Fund - Regular - Growth,0.080060298597036,0.44843400890899143,-0.2334488614483311,1.53,0.1750072167561127,35.0,37.5,57.49999999999999,31.25,80.0,44.0625
149322,DSP Top 100 Equity Fund - Regular - Growth,0.1803973982038829,0.4640374492204776,-0.14844576917771746,1.54,0.13173190226099432,50.0,40.0,42.5,26.25,40.0,41.4375
120841,Kotak Bluechip Fund - Regular - Growth,0.1726301444443794,0.4942725378672354,-0.1757361416468729,1.59,0.13042924450705445,47.5,42.5,40.0,15.0,60.0,41.125
120507,ICICI Pru Liquid Fund - Regular - Growth,0.07392538786263403,0.49572339295331147,-0.0009773140045925555,0.74,0.06746210411099539,30.0,45.0,25.0,85.0,2.5,38.25
120842,Kotak Emerging Equity Fund - Regular - Growth,0.0775416750547262,0.07599984804658912,-0.24003511326274884,1.56,0.0780443887615508,32.5,27.500000000000004,30.0,20.0,82.5,33.875
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.01337083602283895,-0.05718662582818005,-0.5257422117012851,0.72,0.048824215945539845,7.5,22.5,12.5,88.75,100.0,33.6875
120844,Kotak Liquid Fund - Regular - Growth,0.06694394239074852,-0.08874729621557495,-0.0011629327956168556,0.6,0.06455677495375998,27.500000000000004,17.5,22.5,95.0,5.0,31.875
101207,ABSL Small Cap Fund - Regular - Growth,-0.04151453816140693,0.16266076928646758,-0.3544691649336603,1.53,0.10897091901704538,5.0,32.5,35.0,31.25,95.0,30.8125
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.04061259859840338,-0.35662950751436784,-0.08316361763638702,0.55,0.05074772999976104,20.0,7.5,15.0,100.0,15.0,27.375
119095,Axis Small Cap Fund - Regular - Growth,-0.11703299329834216,-0.07597357117478937,-0.5167775370852656,1.38,0.048015953637759554,2.5,20.0,10.0,60.0,97.5,26.5
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.05838988442093762,-0.2265753866279158,-0.04328728923970093,0.77,0.05620895216638369,22.5,10.0,17.5,80.0,12.5,26.0
101208,ABSL Liquid Fund - Regular - Growth,0.06314299292105274,-0.8155673679088286,-0.0016224980244717857,0.79,0.060861457957871144,25.0,2.5,20.0,75.0,7.5,24.125
100025,HDFC Short Term Debt Fund - Regular - Growth,0.03915479354684703,-0.5670947928476847,-0.04308263824636349,0.56,0.042817920315060876,17.5,5.0,7.5,97.5,10.0,23.625
102886,UTI Mid Cap Fund - Regular - Growth,-0.007672319440258146,-0.20583160785470306,-0.2800112356639287,1.51,0.028969397866379445,10.0,12.5,2.5,41.25,87.5,21.5625
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.012923525892154508,-0.20151706755966933,-0.24734440880673303,1.55,0.03747580763443281,15.0,15.0,5.0,22.5,85.0,21.125
119092,Axis Bluechip Fund - Regular - Growth,0.005257668501786883,0.030784850954585913,-0.1440161790933726,1.64,0.0689952982167755,12.5,25.0,27.500000000000004,3.75,37.5,19.8125
